Titel;Duration;Band;Album;Genre;Year;Comment
You Are A Pirate;01:33;Alestorm;Back Through Time;Pirate Metal;2011;Mr. Metal +
Black Sails At Midnight;03:31;Alestorm;Black Sails At Midnight;Pirate Metal;2009;Mr. Metal +
Chronicles Of Vengeance;06:25;Alestorm;Black Sails At Midnight;Pirate Metal;2009;Mr. Metal
Keelhauled;03:42;Alestorm;Black Sails At Midnight;Pirate Metal;2009;Mr. Metal +
Leviathan;05:56;Alestorm;Black Sails At Midnight;Pirate Metal;2009;Mr. Metal
No Quarter;03:02;Alestorm;Black Sails At Midnight;Pirate Metal;2009;Mr. Metal
Pirate Song;04:03;Alestorm;Black Sails At Midnight;Pirate Metal;2009;Mr. Metal
The Quest;04:57;Alestorm;Black Sails At Midnight;Pirate Metal;2009;Mr. Metal +
That Famous Ol' Spiced;04:46;Alestorm;Black Sails At Midnight;Pirate Metal;2009;Mr. Metal
To The End Of Our Days;06:23;Alestorm;Black Sails At Midnight;Pirate Metal;2009;Mr. Metal
Wolves Of The Sea;03:34;Alestorm;Black Sails At Midnight;Pirate Metal;2009;Mr. Metal +
Captain Morgan's Revenge;06:43;Alestorm;Captain Morgan's Revenge;Pirate Metal;2008;Mr. Metal +
Death Before The Mast;03:18;Alestorm;Captain Morgan's Revenge;Pirate Metal;2008;Mr. Metal
Flower Of Scotland;02:38;Alestorm;Captain Morgan's Revenge;Pirate Metal;2008;Mr. Metal +
The Huntmaster;05:00;Alestorm;Captain Morgan's Revenge;Pirate Metal;2008;Mr. Metal
Nancy The Tavern Wench;04:53;Alestorm;Captain Morgan's Revenge;Pirate Metal;2008;Mr. Metal +
Of Treasure;02:58;Alestorm;Captain Morgan's Revenge;Pirate Metal;2008;Mr. Metal
Over The Seas;03:56;Alestorm;Captain Morgan's Revenge;Pirate Metal;2008;Mr. Metal +
Set Sail And Conquer;04:38;Alestorm;Captain Morgan's Revenge;Pirate Metal;2008;Mr. Metal
Terror On The High Seas;03:51;Alestorm;Captain Morgan's Revenge;Pirate Metal;2008;Mr. Metal +
Wenches & Mead;03:42;Alestorm;Captain Morgan's Revenge;Pirate Metal;2008;Mr. Metal +
Drink;03:22;Alestorm;Sunset On The Golden Age;Pirate Metal;2014;Mr. Metal +
Hangover;03:42;Alestorm;Sunset On The Golden Age;Pirate Metal;2014;Mr. Metal +
Magnetic North;03:48;Alestorm;Sunset On The Golden Age;Pirate Metal;2014;Mr. Metal
Mead From Hell;03:42;Alestorm;Sunset On The Golden Age;Pirate Metal;2014;Mr. Metal
Quest for Ships;04:34;Alestorm;Sunset On The Golden Age;Pirate Metal;2014;Mr. Metal
Surf Squid Warfare;03:59;Alestorm;Sunset On The Golden Age;Pirate Metal;2014;Mr. Metal
Walk the Plank;04:05;Alestorm;Sunset On The Golden Age;Pirate Metal;2014;Mr. Metal
Wooden Leg!;02:45;Alestorm;Sunset On The Golden Age;Pirate Metal;2014;Mr. Metal
1741 (The Battle of Cartagena);07:17;Alestorm;Sunset On The Golden Age;Pirate Metal;2014;Mr. Metal +
Courtyard Apocalypse;02:01;Alexandre Desplat;Epic Soundtracks;Soundtrack;2015;Mr. Metal
Statues;02:23;Alexandre Desplat;Epic Soundtracks;Soundtrack;2015;Mr. Metal
Accidents;04:10;Alexisonfire;Post-Hardcore Crash Course;Post-Hardcore;2015;Mr. Metal
No More Mr. Nice Guy - Remastered Version;03:05;Alice Cooper;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal
Poison;04:30;Alice Cooper;Trash;Hard Rock;1989;Mr. Metal +
Greyson;02:13;All Shall Perish;The Price Of Existence;Deathcore;2006;Mr. Metal
Hold On;02:58;All That Remains;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal
Automatic;03:25;Amaranthe;Amaranthe;Metalcore;2011;Mr. Metal +
Call Out My Name;03:18;Amaranthe;Amaranthe;Metalcore;2011;Mr. Metal +
Hunger;03:13;Amaranthe;Amaranthe;Metalcore;2011;Mr. Metal +
Leave Everything Behind;03:19;Amaranthe;Amaranthe;Metalcore;2011;Mr. Metal +
Serendipity;03:26;Amaranthe;Amaranthe;Metalcore;2011;Mr. Metal +
1.000.000 Lightyears - Live;03:27;Amaranthe;MASSIVE ADDICTIVE;Metalcore;2014;Mr. Metal
A Horse with No Name;04:11;America;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal
A Horse With No Name;04:08;America;Top 500 Rock-Songs;Rock;1971;Mr. Metal +
Destroyer Of The Universe;03:41;Amon Amarth;Surtur Rising;Pagan Metal;2011;Mr. Metal +
Guardians Of Asgaard;04:23;Amon Amarth;Twilight Of The Thunder God;Pagan Metal;2008;Mr. Metal +
Where Is Your God?;03:11;Amon Amarth;Twilight Of The Thunder God;Pagan Metal;2008;Mr. Metal +
Across The Rainbow Bridge;04:47;Amon Amarth;Versus The World;Pagan Metal;2002;Mr. Metal
...and Soon The World Will Cease To Be;06:55;Amon Amarth;Versus The World;Pagan Metal;2002;Mr. Metal
Bloodshed;05:13;Amon Amarth;Versus The World;Pagan Metal;2002;Mr. Metal
Death In Fire;04:53;Amon Amarth;Versus The World;Pagan Metal;2002;Mr. Metal +
Down The Slopes Of Death;04:07;Amon Amarth;Versus The World;Pagan Metal;2002;Mr. Metal
For The Stabwounds In Our Bac;04:54;Amon Amarth;Versus The World;Pagan Metal;2002;Mr. Metal
Thousand Years Of Oppression;05:39;Amon Amarth;Versus The World;Pagan Metal;2002;Mr. Metal
Versus The World;05:19;Amon Amarth;Versus The World;Pagan Metal;2002;Mr. Metal
Where Silent Gods Stand Guard;05:46;Amon Amarth;Versus The World;Pagan Metal;2002;Mr. Metal
Time To Say Goodbye (Con Te Partiro);04:08;Andrea Bocelli;Romanza;Klassik;2004;Mr. Metal +
Time To Say Goodbye;04:07;Andrea Bocelli;Top 100;Charts;1997;Mr. Metal
Scheissegal;02:24;Anfall;Aggropunk Vol. 2;Punk Rock;2011;Mr. Metal
Angel Witch;03:25;Angelwitch;Bruetal Legend;Soundtrack;2010;Mr. Metal +
House of the Rising Sun;04:31;Animals;Top 500 Rock-Songs;Rock;1964;Mr. Metal +
I'm Sending You Away;05:39;Anthony Gonzalez;Epic Soundtracks;Soundtrack;2015;Mr. Metal
Waking Up;04:10;Anthony Gonzalez;Epic Soundtracks;Soundtrack;2015;Mr. Metal
Metal Thrashing Mad;02:43;Anthrax;Bruetal Legend;Soundtrack;2010;Mr. Metal +
Metal Thrashing Mad;02:49;Anthrax;Unleash the Fury;Heavy Metal;2015;Mr. Metal
Die For The Government;03:40;Anti-Flag;Die For The Government;Punk Rock;1996;Mr. Metal +
The Press Corpse;03:04;Anti-Flag;For Blood and Empire;Punk Rock;2006;Mr. Metal +
This Is The End (For You My Friend);02:57;Anti-Flag;For Blood and Empire;Punk Rock;2006;Mr. Metal +
Broken Bones;03:01;Anti-Flag;The General Strike;Punk Rock;2012;Mr. Metal +
Pleasure of Flesh;03:32;Antipeewee;New Wave Of Thrash Metal;Thrash Metal;2015;Mr. Metal
March Of The Crabs;02:35;Anvil;Bruetal Legend;Soundtrack;2010;Mr. Metal +
Tag Team;04:12;Anvil;Bruetal Legend;Soundtrack;2010;Mr. Metal
Metal On Metal;03:57;Anvil;Old School Heavy Metal;Heavy Metal;2015;Mr. Metal
Sulphur Injection;07:06;Apostasy;Bruetal Legend;Soundtrack;2010;Mr. Metal
As the Pages Burn;04:01;Arch Enemy;War Eternal;Melodic Death Metal;2014;Mr. Metal +
Avalanche;04:40;Arch Enemy;War Eternal;Melodic Death Metal;2014;Mr. Metal
Down to Nothing;03:48;Arch Enemy;War Eternal;Melodic Death Metal;2014;Mr. Metal
Graveyard of Dreams;01:10;Arch Enemy;War Eternal;Melodic Death Metal;2014;Mr. Metal
Never Forgive, Never Forget;03:44;Arch Enemy;War Eternal;Melodic Death Metal;2014;Mr. Metal +
No More Regrets;04:06;Arch Enemy;War Eternal;Melodic Death Metal;2014;Mr. Metal +
Not Long for This World;03:29;Arch Enemy;War Eternal;Melodic Death Metal;2014;Mr. Metal
On and On;04:04;Arch Enemy;War Eternal;Melodic Death Metal;2014;Mr. Metal +
Shadow on the Wall;03:04;Arch Enemy;War Eternal;Melodic Death Metal;2014;Mr. Metal
Stolen Life;02:59;Arch Enemy;War Eternal;Melodic Death Metal;2014;Mr. Metal
Tempore Nihil Sanat (Prelude in F minor);01:11;Arch Enemy;War Eternal;Melodic Death Metal;2014;Mr. Metal
Time Is Black;05:23;Arch Enemy;War Eternal;Melodic Death Metal;2014;Mr. Metal
War Eternal;04:16;Arch Enemy;War Eternal;Melodic Death Metal;2014;Mr. Metal +
You Will Know My Name;04:37;Arch Enemy;War Eternal;Melodic Death Metal;2014;Mr. Metal +
Tread The Blade;03:19;Arkayic Revolt;New Wave Of Thrash Metal;Thrash Metal;2015;Mr. Metal
Vyjdu Ja Na Voljushku;03:45;Arkona;Decade Of Glory;Pagan Metal;2013;Mr. Metal +
A Beautiful Mistake;04:34;As Blood Runs Black;Allegiance;Deathcore;2006;Mr. Metal
Beneath The Surface;04:39;As Blood Runs Black;Allegiance;Deathcore;2006;Mr. Metal
Legends Never Die;03:45;As Blood Runs Black;Allegiance;Deathcore;2006;Mr. Metal +
One Armed Scissor;04:21;At The Drive-In;Post-Hardcore Crash Course;Post-Hardcore;2015;Mr. Metal
No One Cares;03:05;Atreyu;Lead Sails Paper Anchor;Metalcore;2007;Mr. Metal +
Turn up the Radio;04:39;Autograph;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal
Hass;01:21;Auweia!;There's No Freedom, There's Nur Scheisse!;Punk Rock;2011;Mr. Metal +
Wake Me Up;04:08;Avicii;True;House;2013;Mr. Metal +
Mind Castration;04:28;Axegressor;New Wave Of Thrash Metal;Thrash Metal;2015;Mr. Metal
Forever Angel;06:01;Axel Rudi Pell;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal +
Ain't Seen Nothin Yet;03:30;Bachman-Turner Overdrive;Top 100;Charts;1974;Mr. Metal +
Ain't Seen Nothin Yet;03:30;Bachman-Turner Overdrive;Top 100;Charts;1975;Mr. Metal
Roll On Down The Highway;03:58;Bachman-Turner Overdrive;Top 100;Charts;1975;Mr. Metal +
Verdammt Lang Her;05:46;Bap;Top 100;Charts;1982;Mr. Metal +
Be My Yoko Ono;02:46;Barenaked Ladies;Gordon;Rock;1992;Mr. Metal +
Klendathu Drop;04:30;Basil Poledouris;Epic Soundtracks;Soundtrack;2015;Mr. Metal
Black Ninja;04:05;Battle Beast;Battle Beast;Heavy Metal;2013;Mr. Metal
Fight, Kill, Die;02:41;Battle Beast;Battle Beast;Heavy Metal;2013;Mr. Metal
Golden Age;01:57;Battle Beast;Battle Beast;Heavy Metal;2013;Mr. Metal
Into the Heart of Danger;05:29;Battle Beast;Battle Beast;Heavy Metal;2013;Mr. Metal
Kingdom;05:01;Battle Beast;Battle Beast;Heavy Metal;2013;Mr. Metal
Let It Roar;03:41;Battle Beast;Battle Beast;Heavy Metal;2013;Mr. Metal +
Machine Revolution;04:05;Battle Beast;Battle Beast;Heavy Metal;2013;Mr. Metal
Neuromancer;04:04;Battle Beast;Battle Beast;Heavy Metal;2013;Mr. Metal +
Out of Control;03:39;Battle Beast;Battle Beast;Heavy Metal;2013;Mr. Metal +
Out on the Streets;02:57;Battle Beast;Battle Beast;Heavy Metal;2013;Mr. Metal +
Over the Top;02:38;Battle Beast;Battle Beast;Heavy Metal;2013;Mr. Metal +
Rain Man;05:11;Battle Beast;Battle Beast;Heavy Metal;2013;Mr. Metal
Raven;02:50;Battle Beast;Battle Beast;Heavy Metal;2013;Mr. Metal
Angel Cry;03:35;Battle Beast;Unholy Savior;Power Metal;2015;Mr. Metal
The Black Swordsman;01:15;Battle Beast;Unholy Savior;Power Metal;2015;Mr. Metal
Far Far Away;03:46;Battle Beast;Unholy Savior;Power Metal;2015;Mr. Metal +
Hero's Quest;02:31;Battle Beast;Unholy Savior;Power Metal;2015;Mr. Metal
I Want The World... And Everything In It;04:38;Battle Beast;Unholy Savior;Power Metal;2015;Mr. Metal
Lionheart;04:53;Battle Beast;Unholy Savior;Power Metal;2015;Mr. Metal +
Madness;04:02;Battle Beast;Unholy Savior;Power Metal;2015;Mr. Metal
Push It To The Limit;03:20;Battle Beast;Unholy Savior;Power Metal;2015;Mr. Metal
Sea Of Dreams;05:01;Battle Beast;Unholy Savior;Power Metal;2015;Mr. Metal
Speed And Danger;04:40;Battle Beast;Unholy Savior;Power Metal;2015;Mr. Metal +
Touch In The Night;04:32;Battle Beast;Unholy Savior;Power Metal;2015;Mr. Metal +
Unholy Savior;05:36;Battle Beast;Unholy Savior;Power Metal;2015;Mr. Metal
Force Fed Lies;03:21;Battlecross;New Wave Of Thrash Metal;Thrash Metal;2015;Mr. Metal +
Fight For Your Right;03:28;Beastie Boys;Licensed To Ill;Hip Hop;1986;Mr. Metal +
Catch My Disease;04:14;Ben Lee;Scrubs 8;Soundtrack;2009;Mr. Metal
